Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
Very High,C209,DEHRES13DEL01,clear sky,Meal,motorcycle,26,4.7,30.366.322,78.070.453,30.406.322,78.110.453,11.69,77,0,19.22,74.65,391989,8117,C209,47,46+,Male,Medium,Low,Bangalore,North Indian,Navrangpura,Ahmedabad,Cherries - Silver Heights,300,2.9,80,"Combo,Indian",Navrangpura,40,67.185,31-45 mins,67.185
Very Low,A998,JAPRES14DEL01,haze,Snack,motorcycle,28,4.5,2.688.842,75.800.689,2.689.842,75.810.689,19.63,64,0,1.78,13.5,218142,9382,A998,21,18-25,Male,Medium,High,Bangalore,Tandoor,Andheri East,Mumbai,Arey O Sambhar,350,3.8,20,South Indian,Marol Industrial Estate,52,12.15,45+ mins,12.15
Very High,99EF,SURRES17DEL03,mist,Buffet,motorcycle,25,4.6,21.149.569,72.772.697,21.239.569,72.862.697,24.95,73,0,20.14,52.6,88070,8572,99EF,19,18-25,Female,Low,Medium,Bangalore,Biryani,Padmarao Nagar,Hyderabad,Lucky'S Biryani House,400,3.8,100,Biryani  Chinese,Warasiguda X Road,48,47.34,45+ mins,47.34
High,364A,SURRES18DEL03,mist,Buffet,scooter,21,4.9,21.149.834,72.778.666,21.239.834,72.868.666,24.94,73,0,16.89,39.6,202182,1490,364A,29,26-35,Female,Medium,Medium,Bangalore,Lucknowi,Ballygunge,Kolkata,Adil Biryani Restaurant,300,4.2,100,"Biryani,Kebabs,Mughlai",Central Kolkata,56,35.64,45+ mins,35.64
High,66D6,CHENRES17DEL01,overcast clouds,Buffet,scooter,28,3.3,13.045.479,8.023.311,13.115.479,8.030.311,28.45,82,0,18.38,44.95,390659,1495,66D6,60,46+,Male,High,High,Bangalore,North Indian,Somajiguda & Khairtabad,Hyderabad,Dostea,300,2.9,80,Beverages  Fast Food,Somajiguda & Khairtabad,56,40.455,45+ mins,40.455
High,1024,RANCHIRES06DEL01,mist,Drinks,motorcycle,35,4.7,23.357.804,85.325.146,23.427.804,85.395.146,21.25,78,0,23.65,57.75,432565,1498,1024,48,46+,Female,Medium,High,Bangalore,Punjabi,Jayanagar,Bangalore,Meghduth Biryanis,400,4.2,100,"Andhra,Biryani,South Indian",Jayanagar,46,51.975,45+ mins,51.975
Very High,396C,CHENRES05DEL01,overcast clouds,Drinks,scooter,36,4.2,13.058.616,80.264.151,13.168.616,80.374.151,28.36,86,0,24.34,70.1,432565,9261,396C,41,36-45,Male,Medium,Medium,Bangalore,North Indian,Jayanagar,Bangalore,Meghduth Biryanis,400,4.2,100,"Andhra,Biryani,South Indian",Jayanagar,46,63.09,45+ mins,63.09
High,4C3C,PUNERES15DEL03,clear sky,Meal,motorcycle,28,4.7,18.636.215,73.751.081,18.696.215,73.811.081,22.57,49,0,15.12,42.2,3227,1828,4C3C,42,36-45,Female,Medium,Medium,Bangalore,Snacks,Bhowanipore,Kolkata,Balaram Mullick & Radharaman Mullick Sweets-Bhawanipur,300,4.5,1000,Desserts  Fast Food  Bakery,Bhawanipur,54,37.98,45+ mins,37.98
Moderate,C559,BHPRES15DEL03,clear sky,Drinks,motorcycle,30,4.9,23.234.249,77.434.007,23.294.249,77.494.007,18.25,58,0,13.62,39.9,3227,5150,C559,29,26-35,Male,Medium,Medium,Bangalore,Chinese,Bhowanipore,Kolkata,Balaram Mullick & Radharaman Mullick Sweets-Bhawanipur,300,4.5,1000,Desserts  Fast Food  Bakery,Bhawanipur,54,35.91,45+ mins,35.91
Very High,4BDC,PUNERES09DEL02,clear sky,Snack,motorcycle,31,4.2,18.536.562,73.896.485,18.666.562,74.026.485,23.47,47,0,30.28,60.2,333980,9200,4BDC,25,18-25,Male,High,Low,Bangalore,Snacks,Naranpura,Ahmedabad,Bake And Grill,250,2.9,80,"Indian,Fast Food",Ghatlodia,61,54.18,45+ mins,54.18
Moderate,25D8,JAPRES16DEL01,haze,Buffet,scooter,21,4.7,26.849.596,75.800.512,26.919.596,75.870.512,19.69,68,0,14.04,31.4,306503,5158,25D8,33,26-35,Female,High,Medium,Bangalore,Lucknowi,Dumdum,Kolkata,"Anjali	Caterer",200,2.9,80,Bengali,Dumdum,93,28.26,45+ mins,28.26
High,4D40,PUNERES06DEL01,clear sky,Snack,motorcycle,25,4.8,18.546.258,73.904.337,18.656.258,74.014.337,23.58,47,0,22.85,42.65,457485,1510,4D40,48,46+,Male,High,Low,Bangalore,Mughlai,Dindoli,Surat,Aagman Punjabi And Chinese Food Corner,300,2.9,80,"North Indian,Chinese,Thalis",Dindoli,65,38.385,45+ mins,38.385
Moderate,B6A5,HYDRES010DEL01,haze,Drinks,scooter,33,4.8,17.428.294,78.404.423,17.468.294,78.444.423,23.96,57,0,11.47,37.05,457485,5774,B6A5,60,46+,Female,Medium,Medium,Bangalore,Lucknowi,Dindoli,Surat,Aagman Punjabi And Chinese Food Corner,300,2.9,80,"North Indian,Chinese,Thalis",Dindoli,65,33.345,45+ mins,33.345
High,ED4,COIMBRES07DEL01,haze,Buffet,motorcycle,28,4.6,1.096.185,76.971.082,1.103.185,77.041.082,26.01,65,0,16.24,37.3,24854,1513,ED4,40,36-45,Male,Medium,Low,Bangalore,Tandoor,Nungambakkam,Chennai,Dhanniya Soru,200,4.2,100,South Indian,Lalinga Colony,73,33.57,45+ mins,33.57
High,57B9,PUNERES07DEL02,clear sky,Snack,motorcycle,28,5,18.546.947,73.900.626,18.626.947,73.980.626,23.39,47,0,17.13,45.2,23496,1514,57B9,59,46+,Male,Medium,Medium,Bangalore,Snacks,Choolaimedu,Chennai,Cake Max,100,4.2,500,"Bakery,Desserts,Pizzas,Beverages",Arumbakkam,65,40.68,45+ mins,40.68
Low,1B98,VADRES010DEL01,haze,Drinks,motorcycle,26,4.2,22.310.329,73.169.083,22.350.329,73.209.083,24.03,64,0,8.73,29.05,313443,4291,1B98,19,18-25,Female,Medium,High,Bangalore,Mughlai,Mehdipatnam,Hyderabad,Al Madina Chicken Haleem,150,3.3,20,"North Indian,Chinese,Biryani",Migh Colony,48,26.145,45+ mins,26.145
High,15FE,MYSRES02DEL03,clear sky,Buffet,scooter,36,4.2,12.304.569,76.643.622,12.364.569,76.703.622,20.51,68,0,13.86,41.6,449407,2101,15FE,47,46+,Male,High,Medium,Bangalore,Chinese,Kalyani Nagar,Pune,Hotel Sai Shivneri,250,2.9,80,"North Indian,Chinese,Biryani,Beverages",Kalyani Nagar,50,37.44,45+ mins,37.44
High,5436,BANGRES11DEL03,haze,Snack,scooter,29,4.4,12.934.365,77.616.155,13.024.365,77.706.155,22.77,74,0,17.57,46.1,73574,1524,5436,43,36-45,Female,Medium,Low,Bangalore,Desserts,Egmore,Chennai,Brownie Heaven,200,4.6,20,Desserts,Egmore,37,41.49,31-45 mins,41.49
High,8FF8,PUNERES18DEL02,clear sky,Snack,motorcycle,23,4.7,18.593.481,73.785.901,18.673.481,73.865.901,22.75,49,0,17.7,39.65,120807,1525,8FF8,30,26-35,Female,Low,High,Bangalore,North Indian,Kothrud,Pune,Cafe Arabia,300,4.4,100,"Lebanese,Middle Eastern,Mediterranean",Kothrud,54,35.685,45+ mins,35.685
High,51B0,MYSRES17DEL02,clear sky,Snack,scooter,23,4.7,12.326.356,76.619.103,12.456.356,76.749.103,20.23,67,0,26.19,42.1,63705,1528,51B0,24,18-25,Male,Medium,Low,Bangalore,Punjabi,Kodambakkam,Chennai,Hotel Hollywood,500,4.3,100,"North Indian,Biryani,Seafood,South Indian",Kodambakkam,66,37.89,45+ mins,37.89
High,556D,PUNERES18DEL01,clear sky,Snack,motorcycle,39,4.1,18.593.481,73.785.901,18.703.481,73.895.901,22.51,48,0,21.63,47.7,361308,1531,556D,30,26-35,Female,Medium,High,Bangalore,Desserts,Athwa,Surat,Zest House,300,2.9,80,"North Indian,Fast Food,Punjabi,Chinese",Piplod,47,42.93,45+ mins,42.93
High,9527,CHENRES02DEL03,overcast clouds,Drinks,electric_scooter,37,4.2,13.086.438,80.220.672,13.146.439,80.280.672,28.36,82,0,14.27,56.2,49007,1535,9527,27,26-35,Female,High,Medium,Bangalore,Lucknowi,Ashok Vihar,Delhi,Cake 24X7,200,2.9,80,Bakery,Opposite Sbi,58,50.58,45+ mins,50.58
High,2388,SURRES18DEL02,mist,Snack,electric_scooter,26,4.1,21.149.834,72.778.666,21.229.834,72.858.666,24.94,73,0,16.11,41,415011,1537,2388,55,46+,Female,Low,Low,Bangalore,Desserts,Mehdipatnam,Hyderabad,Bakers Magic,350,2.9,80,Fast Food,Mehdipatnam,54,36.9,45+ mins,36.9
Low,81A6,SURRES03DEL02,clear sky,Buffet,motorcycle,33,4.7,21.186.884,72.793.616,21.236.884,72.843.616,23.08,43,0,8.08,19.2,415011,3258,81A6,25,18-25,Male,Low,Low,Bangalore,Desserts,Mehdipatnam,Hyderabad,Bakers Magic,350,2.9,80,Fast Food,Mehdipatnam,54,17.28,45+ mins,17.28
High,6AE3,RANCHIRES13DEL02,mist,Snack,scooter,26,4.7,23.374.989,85.335.486,23.424.989,85.385.486,21.27,78,0,10.34,40.1,54357,1538,6AE3,28,26-35,Female,Medium,High,Bangalore,South Indian,Asalpha,Mumbai,O Cakes,300,4.4,100,"Desserts,Bakery,Sweets",Sakinaka,38,36.09,31-45 mins,36.09
High,38D0,VADRES13DEL02,haze,Drinks,motorcycle,35,4.9,22.310.237,73.158.921,22.440.237,73.288.921,25.93,57,0,24.44,49.1,389009,1540,38D0,53,46+,Female,Medium,Low,Bangalore,Punjabi,Kothrud,Pune,August 1 Five,200,2.9,80,"Chinese,Continental,Pizzas,Pastas,Beverages",Kothrud,60,44.19,45+ mins,44.19
High,82C6,MYSRES16DEL02,clear sky,Buffet,motorcycle,37,4.6,12.316.967,76.603.067,12.366.967,76.653.067,20.61,67,0,13.43,36,203947,1543,82C6,29,26-35,Male,High,Low,Bangalore,Punjabi,Bidhannagar,Kolkata,Hyatt-La Cucina,400,2.9,80,"Indian,Asian,Italian,Bakery",Hyatt Regencysaltlake,59,32.4,45+ mins,32.4
High,B16A,MYSRES12DEL01,clear sky,Meal,scooter,33,4.9,12.284.747,76.625.861,12.354.747,76.695.861,20.61,67,0,16.95,39.1,61028,1544,B16A,49,46+,Female,Low,Low,Bangalore,Lucknowi,Ramesh Nagar,Delhi,Papajii & Sons (Punjabi Bagh),250,3.8,50,"Indian,Chinese,Mughlai",Club Road Market,71,35.19,45+ mins,35.19
High,95EE,SURRES03DEL02,clear sky,Meal,motorcycle,23,5,21.186.884,72.793.616,21.266.884,72.873.616,24.93,43,0,17.73,35.25,15905,1551,95EE,35,26-35,Male,High,Medium,Bangalore,Biryani,Shivaji Nagar,Bangalore,Anand Sweets And Savouries,200,4.6,500,"Sweets,Chaat,Snacks,Desserts,North Indian",Commercial Street,39,31.725,31-45 mins,31.725
High,F4E,HYDRES02DEL02,haze,Meal,motorcycle,38,4.2,1.741.233,78.449.654,1.749.233,78.529.654,23.73,57,0,17.95,45.2,160082,1557,F4E,42,36-45,Male,Low,High,Bangalore,Punjabi,Ayanavaram,Chennai,Ginger Garlic,250,4.2,100,"Chinese,Arabian,Tandoor",V.P Colony ( South Street)  Aynavaram,50,40.68,45+ mins,40.68
High,374F,BANGRES03DEL03,haze,Drinks,motorcycle,28,4.7,12.979.166,77.640.709,13.069.166,77.730.709,22.15,74,0,18.4,43.1,383684,1559,374F,24,18-25,Female,Medium,Medium,Bangalore,Gujarati,Central Kolkata,Kolkata,South Indian Restaurant,300,4.1,50,South Indian,Central Kolkata,57,38.79,45+ mins,38.79
Low,696B,BANGRES18DEL02,haze,Drinks,electric_scooter,30,4.6,12.913.041,77.683.237,12.933.041,77.703.237,23.49,73,0,5.65,27.35,71172,3697,696B,30,26-35,Male,Low,Low,Bangalore,Lucknowi,Gopipura,Surat,A One Coco,150,4.1,100,Ice Cream,Bhagatalav,34,24.615,31-45 mins,24.615
Moderate,C763,LUDHRES15DEL02,clear sky,Snack,motorcycle,29,4.9,30.899.584,75.809.346,30.949.584,75.859.346,18.91,57,0,13.99,28.5,408694,5118,C763,37,36-45,Male,Low,High,Bangalore,Biryani,Wanowrie,Pune,Proper Pakoda,100,2.9,80,Snacks,Wanowrie,62,25.65,45+ mins,25.65
High,CE4A,AGRRES07DEL03,clear sky,Meal,motorcycle,23,4.7,27.160.934,78.044.095,27.250.934,78.134.095,25.53,38,0,22.82,44.1,456394,1765,CE4A,45,36-45,Male,Medium,Medium,Bangalore,South Indian,New Area,Kolkata,Sanjib Da Dhaba 4U,500,2.9,80,"North Indian,Biryani,Seafood",New Area,72,39.69,45+ mins,39.69
High,2BA7,BANGRES03DEL03,haze,Meal,motorcycle,28,4,12.979.166,77.640.709,13.039.166,77.700.709,22.58,73,0,12.05,34,361739,2639,2BA7,26,26-35,Male,Low,Low,Bangalore,Snacks,Kankurgachi,Kolkata,Cafe 324,250,4.3,100,Snacks  Desserts  Beverages,Kankurgachi,41,30.6,31-45 mins,30.6
High,43F2,PUNERES16DEL03,clear sky,Drinks,motorcycle,23,4.9,18.536.718,73.830.327,18.626.718,73.920.327,22.98,48,0,18.15,52.9,411969,1580,43F2,38,36-45,Female,Low,Medium,Bangalore,North Indian,Himayath Nagar,Hyderabad,Tasim - On The Go,300,4.3,50,"North Indian,Snacks",Himayath Nagar,41,47.61,31-45 mins,47.61
High,22B5,BANGRES15DEL02,haze,Buffet,motorcycle,25,4.6,12.975.377,77.696.664,13.025.377,77.746.664,22.82,74,0,16.42,37.95,365894,1582,22B5,30,26-35,Female,Low,High,Bangalore,South Indian,Himayatnagar,Hyderabad,Frozen Bottle,250,3.8,100,"Beverages,Ice Cream,Desserts",Rk Saboo Plaza,32,34.155,31-45 mins,34.155
High,7FD9,MUMRES15DEL01,smoke,Buffet,motorcycle,23,5,19.176.269,72.836.721,19.246.269,72.906.721,27.44,54,0,16.36,48.65,416376,1586,7FD9,53,46+,Female,Medium,Low,Bangalore,Punjabi,Girish Park,Kolkata,Pabrai'S Fresh And Naturelle Icecream,300,4.9,20,"Ice Cream,Beverages,Desserts",Burrabazar,37,43.785,31-45 mins,43.785
Low,4120,BANGRES18DEL01,haze,Meal,motorcycle,22,4.6,12.913.041,77.683.237,12.923.041,77.693.237,23.45,73,0,3.06,13.75,416376,3779,4120,57,46+,Female,Medium,Low,Bangalore,Snacks,Girish Park,Kolkata,Pabrai'S Fresh And Naturelle Icecream,300,4.9,20,"Ice Cream,Beverages,Desserts",Burrabazar,37,12.375,31-45 mins,12.375
High,3997,PUNERES07DEL01,clear sky,Snack,motorcycle,33,4.5,18.546.947,73.900.626,18.616.947,73.970.626,23.09,48,0,15.98,44.6,354631,1588,3997,38,36-45,Male,Medium,Low,Bangalore,Desserts,Rohini,Delhi,Mealful Rolls - Meals In A Roll,250,4.1,50,"North Indian,Biryani,Combo,Snacks",Rohini,46,40.14,45+ mins,40.14
High,8C75,INDORES15DEL02,clear sky,Meal,motorcycle,30,4.4,22.760.072,75.892.574,22.840.072,75.972.574,22.22,44,0,16.58,34.8,354631,2428,8C75,34,26-35,Female,High,High,Bangalore,North Indian,Rohini,Delhi,Mealful Rolls - Meals In A Roll,250,4.1,50,"North Indian,Biryani,Combo,Snacks",Rohini,46,31.32,45+ mins,31.32
High,AD0,CHENRES07DEL03,overcast clouds,Drinks,scooter,38,5,13.081.878,80.248.519,13.141.878,80.308.519,28.49,82,0,12.17,43.35,317811,1589,AD0,28,26-35,Male,Medium,Low,Bangalore,Punjabi,Rohini,Delhi,Jai Shree Radhey Radhey Tiffin Service,200,2.9,80,Indian,Rohini,59,39.015,45+ mins,39.015
High,B3BA,COIMBRES16DEL02,haze,Meal,electric_scooter,28,5,11.010.375,7.695.295,11.090.375,7.703.295,25.95,65,0,17.37,33.5,20058,1590,B3BA,27,26-35,Female,Low,Low,Bangalore,Chinese,Sadashiv Peth,Pune,Sp'S Biryani House,600,4.2,500,"Biryani,North Indian,Indian,Maharashtrian",Tilak Road,37,30.15,31-45 mins,30.15
Low,D6C5,GOARES07DEL02,scattered clouds,Meal,motorcycle,37,4.7,15.561.295,73.749.478,15.581.295,73.769.478,24.48,58,0,6.13,21.4,313088,2853,D6C5,38,36-45,Female,Medium,High,Bangalore,South Indian,New Alipore,Kolkata,South Indian Flavours,200,3.4,20,Indian,Alipore,81,19.26,45+ mins,19.26
Very High,5C7B,PUNERES01DEL02,clear sky,Meal,electric_scooter,20,4.8,18.569.156,73.774.723,18.699.156,73.904.723,18.94,65,0,28.3,65.6,369997,8209,5C7B,30,26-35,Male,High,Medium,Bangalore,Snacks,Aundh,Pune,Crazy Momos,200,4.2,50,"Fast Food,Beverages",Aundh,63,59.04,45+ mins,59.04
High,6EE6,INDORES19DEL01,clear sky,Snack,motorcycle,30,4.7,22.745.536,75.893.106,22.855.536,76.003.106,23.32,43,0,26.6,49.5,338353,1595,6EE6,59,46+,Male,Medium,Low,Bangalore,Gujarati,Andheri East,Mumbai,Parab'S Sampoorna Kitchen,230,2.9,80,South Indian  Indian  Chinese  Combo  Punjabi  Biryani,Marol Sakinaka,48,44.55,45+ mins,44.55
High,76FB,SURRES11DEL01,clear sky,Snack,scooter,34,4.6,21.157.735,72.768.778,21.267.735,72.878.778,24.92,43,0,22.71,48.65,45843,1597,76FB,22,18-25,Female,Low,Medium,Bangalore,Desserts,Chembur,Mumbai,Cafe Alvi,500,3.6,20,Cafe,Govandi,52,43.785,45+ mins,43.785
High,C5E6,ALHRES16DEL01,clear sky,Meal,motorcycle,21,4.9,25.450.377,81.834.236,25.520.377,81.904.236,25.48,43,0,17.3,37.95,347273,1600,C5E6,29,26-35,Male,Low,Medium,Bangalore,Biryani,Kuber Nagar,Ahmedabad,Cake & Bake,200,3.7,20,Bakery,Naroda,84,34.155,45+ mins,34.155
High,69B4,BANGRES19DEL03,haze,Drinks,scooter,39,5,12.914.264,776.784,12.974.264,777.384,23.27,73,0,17.1,49.55,71152,1601,69B4,32,26-35,Male,High,Medium,Bangalore,Mughlai,Pitam Pura,Delhi,Vikas Foods,400,4.3,50,North Indian,Rani Bagh,47,44.595,45+ mins,44.595
High,8A6D,BANGRES12DEL02,haze,Meal,motorcycle,39,4.8,12.939.496,77.625.999,12.989.496,77.675.999,23.08,73,0,13.33,36,56724,1613,8A6D,26,26-35,Male,Medium,Medium,Bangalore,Mughlai,Kolkata,Kolkata,Dehat,200,4.3,1000,Indian  North Indian  Rajasthani  Thalis  Combo,Sreebhumi  Lake Town,66,32.4,45+ mins,32.4
High,3.30E+04,COIMBRES03DEL02,haze,Buffet,scooter,37,4.9,11.025.083,77.015.393,11.155.083,77.145.393,26.26,65,0,29.81,47.05,287548,1618,3.30E+04,35,26-35,Female,Medium,Low,Bangalore,Snacks,Powai Area,Mumbai,Jw Cafe - Jw Marriott Mumbai Sahar,1200,2.9,80,"North Indian,Continental,Asian,European,Desserts",Powai Area,64,42.345,45+ mins,42.345
Low,2CE5,VADRES11DEL02,haze,Drinks,motorcycle,25,4.5,22.308.096,73.167.753,22.328.096,73.187.753,23.99,64,0,5.41,22.75,287548,3943,2CE5,33,26-35,Male,High,Medium,Bangalore,North Indian,Powai Area,Mumbai,Jw Cafe - Jw Marriott Mumbai Sahar,1200,2.9,80,"North Indian,Continental,Asian,European,Desserts",Powai Area,64,20.475,45+ mins,20.475
Moderate,D1C2,KOLRES09DEL01,haze,Meal,motorcycle,27,4.7,22.515.082,8.836.783,22.555.082,8.840.783,28,65,0,9.09,23.1,397493,6024,D1C2,45,36-45,Female,Medium,Medium,Bangalore,Snacks,Himayath Nagar,Hyderabad,A Bowl Affair,300,3.3,20,"Indian,Chinese,Combo,Beverages",Himayath Nagar,33,20.79,31-45 mins,20.79
High,8.20E+01,COIMBRES04DEL02,haze,Drinks,motorcycle,27,4.5,11.024.839,77.007.003,11.154.839,77.137.003,26.26,65,0,30.43,54.6,446,1621,8.20E+01,24,18-25,Female,Medium,Medium,Bangalore,South Indian,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"North Indian,Chinese",Cooke Town,55,49.14,45+ mins,49.14
Low,A2E8,MYSRES08DEL01,clear sky,Drinks,scooter,23,4.8,12.297.954,76.665.169,12.337.954,76.705.169,20.61,67,0,9.91,28.8,446,4313,A2E8,51,46+,Male,High,Low,Bangalore,Desserts,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"North Indian,Chinese",Cooke Town,55,25.92,45+ mins,25.92
Low,2FA6,COIMBRES17DEL02,mist,Buffet,motorcycle,29,4.9,11.026.117,76.944.652,11.046.117,76.964.652,24.8,73,0,4.62,19.4,392159,3149,2FA6,21,18-25,Female,Low,Low,Bangalore,South Indian,Somajiguda & Khairtabad,Hyderabad,Mahalaxmi Tiffin Centre,250,4.4,20,"South Indian,Snacks",Aghapura,35,17.46,31-45 mins,17.46
High,DC69,ALHRES16DEL02,clear sky,Drinks,motorcycle,23,4.5,25.450.377,81.834.236,25.530.377,81.914.236,25.19,43,0,18.18,52.8,388668,1627,DC69,52,46+,Male,High,Medium,Bangalore,Gujarati,Burrabazar,Kolkata,Ganguram-Lal Bazar,100,4.4,50,Indian  Chinese,Burrabazar,42,47.52,31-45 mins,47.52
High,DE9B,KOLRES010DEL01,haze,Buffet,motorcycle,29,4.8,22.538.999,88.322.337,22.608.999,88.392.336,27.99,65,0,12.89,42.6,17155,1628,DE9B,24,18-25,Male,Medium,Medium,Bangalore,South Indian,Chennai,Chennai,Olive And Basil,500,3.8,100,Chinese,Egmore,37,38.34,31-45 mins,38.34
Low,49F8,COIMBRES04DEL02,mist,Meal,motorcycle,30,4.9,11.024.839,77.007.003,11.044.839,77.027.003,24.88,73,0,4.35,15.4,417865,2904,49F8,37,36-45,Male,High,Low,Bangalore,Punjabi,Mehdipatnam,Hyderabad,Andhra Meals And Rolls Zone,200,2.9,80,"South Indian,Indian",Mehdipatnam,54,13.86,45+ mins,13.86
Low,812F,PUNERES07DEL03,clear sky,Snack,electric_scooter,21,4.9,18.546.947,73.900.626,18.576.947,73.930.626,22.96,48,0,6.21,22,5691,4211,812F,60,46+,Female,High,Medium,Bangalore,Chinese,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48,19.8,45+ mins,19.8
High,724E,COIMBRES18DEL01,haze,Snack,motorcycle,32,4.4,1.102.091,76.940.432,1.109.091,77.010.432,25.79,73,0,16.05,43.4,448367,1636,724E,19,18-25,Female,High,Medium,Bangalore,Gujarati,Pcmc,Pune,Hotel Radha Krishna World Of Veg,350,2.9,80,"North Indian,South Indian,Desserts,Street Food,Beverages",Pcmc,68,39.06,45+ mins,39.06
High,BE49,HYDRES03DEL02,haze,Meal,scooter,31,4.1,17.422.819,78.449.578,17.502.819,78.529.578,22.68,60,0,16.52,43.85,42832,1813,BE49,19,18-25,Female,Low,Medium,Bangalore,Tandoor,Choolaimedu,Chennai,Al Dari Biryani,350,3.6,100,"Biryani,Indian",Kodambakkam,79,39.465,45+ mins,39.465
High,2C1A,COIMBRES16DEL03,haze,Drinks,motorcycle,26,4.8,11.010.375,7.695.295,11.100.375,7.704.295,26.01,73,0,19.24,55.55,37996,1645,2C1A,22,18-25,Male,Medium,High,Bangalore,Lucknowi,Navrangpura,Ahmedabad,Vittlebox,250,4.2,1000,"Punjabi,Combo,Chinese,Fast Food,South Indian,Mexican",Navrangpura,34,49.995,31-45 mins,49.995
High,6C82,JAPRES20DEL03,clear sky,Drinks,scooter,30,4.5,26.956.431,75.776.649,27.016.431,75.836.649,23.29,27,0,12.04,46.8,181091,1646,6C82,25,18-25,Male,High,Medium,Bangalore,Chinese,Tiljala,Kolkata,Chaccha Jaan - Biryani Kebabs & Curries,400,4.1,500,"Biryani,North Indian,Mughlai,Kebabs",Picnic Garden,67,42.12,45+ mins,42.12
High,6DE4,MYSRES07DEL01,clear sky,Meal,scooter,30,4.2,12.325.461,76.632.278,12.435.461,76.742.278,20.29,68,0,21.9,31.75,64956,1649,6DE4,37,36-45,Female,High,Low,Bangalore,Snacks,Camp,Pune,Mahesh Lunch Home,900,4.2,100,"Seafood,Indian,Chinese",Camp Area,34,28.575,31-45 mins,28.575
Very Low,967E,HYDRES16DEL01,broken clouds,Meal,scooter,22,4.9,17.440.827,78.393.391,17.450.827,78.403.391,21.32,65,0,2.5,10.4,64956,9580,967E,18,18-25,Male,Medium,Medium,Bangalore,Biryani,Camp,Pune,Mahesh Lunch Home,900,4.2,100,"Seafood,Indian,Chinese",Camp Area,34,9.36,31-45 mins,9.36
High,5C3D,BANGRES09DEL02,haze,Buffet,motorcycle,29,4.8,12.934.179,77.615.797,13.014.179,77.695.797,22.86,74,0,16.05,47.05,353098,1654,5C3D,25,18-25,Male,Medium,Medium,Bangalore,Mughlai,Rohini,Delhi,Cuoco,350,2.9,80,"Continental,Beverages,Italian,Fast Food",Rohini,55,42.345,45+ mins,42.345
High,A17B,COIMBRES04DEL03,haze,Meal,scooter,39,4.8,11.024.839,77.007.003,11.114.839,77.097.003,26.1,73,0,18.06,35.85,456386,1655,A17B,19,18-25,Male,Low,High,Bangalore,Chinese,Piplod,Surat,The Barot House,200,2.9,80,"South Indian,Street Food",Piplod,65,32.265,45+ mins,32.265
High,150F,PUNERES01DEL03,clear sky,Buffet,scooter,24,4.6,18.569.156,73.774.723,18.629.156,73.834.723,22.46,50,0,15.37,42.95,420880,1731,150F,28,26-35,Male,High,Medium,Bangalore,South Indian,Koramangala,Bangalore,Ek Dum Desi,400,2.9,80,North Indian,Koramangala,64,38.655,45+ mins,38.655
High,DCE6,ALHRES19DEL02,clear sky,Buffet,scooter,20,4.7,25.457.116,81.859.682,25.507.116,81.909.682,25.48,43,0,17.14,43.15,430484,1662,DCE6,48,46+,Female,Medium,High,Bangalore,Gujarati,Rohini,Delhi,Karims Rohini,700,2.9,80,"Indian,North Indian",Rohini,45,38.835,31-45 mins,38.835
Moderate,D80A,AGRRES12DEL03,clear sky,Snack,motorcycle,30,4.6,27.165.108,78.015.053,27.225.108,78.075.053,25.96,37,0,12.05,30.15,430484,5807,D80A,20,18-25,Female,Low,High,Bangalore,Mughlai,Rohini,Delhi,Karims Rohini,700,2.9,80,"Indian,North Indian",Rohini,45,27.135,31-45 mins,27.135
High,B707,INDORES08DEL02,clear sky,Meal,motorcycle,38,4.5,22.725.748,75.898.497,22.805.747,75.978.497,22.18,44,0,18.15,39.6,45221,1910,B707,59,46+,Female,Medium,Medium,Bangalore,Mughlai,Jorasanko,Kolkata,Jay Ambe Bhojanalaya,200,3.9,100,North Indian,Ballav Das Street,45,35.64,31-45 mins,35.64
Moderate,36DC,MYSRES13DEL02,broken clouds,Drinks,electric_scooter,30,4.9,12.310.972,76.659.264,12.360.972,76.709.264,18.24,81,0,9.7,39.85,45221,4695,36DC,51,46+,Male,Low,High,Bangalore,Gujarati,Jorasanko,Kolkata,Jay Ambe Bhojanalaya,200,3.9,100,North Indian,Ballav Das Street,45,35.865,31-45 mins,35.865
